x,y,beacon1,beacon2,beacon3,beacon4,beacon5,beacon6
156.0,40.0,-81,-82,-78,-73,-81,-88
156.0,40.0,-79,-79,-79,-72,-83,-88
156.0,40.0,-78,-77,-79,-72,-85,-88
156.0,40.0,-78,-75,-78,-72,-86,-85
156.0,40.0,-77,-73,-76,-72,-87,-87
156.0,40.0,-78,-79,-81,-74,-85,-89
156.0,40.0,-78,-81,-88,-76,-83,-89
156.0,40.0,-78,-82,-89,-77,-81,-89
156.0,40.0,-78,-83,-88,-76,-81,-90
156.0,40.0,-78,-85,-88,-76,-82,-89
156.0,40.0,-81,-87,-83,-75,-88,-91
156.0,40.0,-82,-91,-81,-74,-92,-92
156.0,40.0,-83,-92,-80,-73,-94,-92
156.0,40.0,-83,-91,-80,-73,-95,-92
156.0,40.0,-83,-90,-78,-73,-92,-90
156.0,40.0,-81,-79,-76,-73,-86,-87
156.0,40.0,-80,-76,-75,-73,-82,-85
156.0,40.0,-79,-74,-75,-74,-80,-85
156.0,40.0,-78,-73,-75,-74,-79,-87
156.0,40.0,-79,-78,-79,-74,-78,-87
156.0,40.0,-79,-83,-84,-75,-80,-86
156.0,40.0,-79,-85,-86,-75,-79,-84
156.0,40.0,-79,-86,-89,-76,-79,-84
156.0,40.0,-79,-87,-90,-76,-79,-85
156.0,40.0,-81,-89,-85,-75,-83,-86
156.0,40.0,-82,-92,-82,-74,-89,-89
156.0,40.0,-83,-91,-80,-74,-91,-92
156.0,40.0,-83,-91,-79,-73,-92,-93
156.0,40.0,-83,-91,-79,-74,-92,-94
156.0,40.0,-82,-83,-76,-73,-85,-91
156.0,40.0,-81,-77,-75,-72,-82,-90
156.0,40.0,-80,-73,-74,-72,-81,-88
156.0,40.0,-80,-72,-74,-72,-79,-86
156.0,40.0,-80,-71,-74,-72,-78,-85
156.0,40.0,-79,-83,-81,-74,-80,-84
156.0,40.0,-79,-89,-83,-75,-81,-84
156.0,40.0,-79,-92,-85,-76,-81,-85
156.0,40.0,-78,-93,-85,-76,-81,-84
